NCO|documentStart|2020-12-03|10:55:12|user01|End
NCO|documentCheck|principleID|NDI|End
NCO|documentCheck|distributorID|B0006|End
NCO|documentCheck|distributorName|PT. BERKAH RAYA|End
NCO|documentCheck|branchName|TANGERANG|End
NCO|documentCheck|fromDate|2020-07-19|End
NCO|documentCheck|thruDate|2020-07-22|End
NCO|documentCheck|version|A01.30.00|End
NCO|documentCheck|productmasterversion||End
NCO|documentCheck|gromartMerchantID||End
NCO|documentCheck|companyID|NS6083010001517|End
NCO|documentCheck|branchID|1522203109974|End
NCO|documentCheck|nd6closeddate|2020-07-21|End
NCO|distributorproduct|attribute|productCode|principalProductCode|productName|productPackaging|uom1|uom2|uom3|uom4|conversion1to4|conversion2to4|conversion3to4|productStatus|buyingPrice|sellingPrice|nexchiefRatio|divisonID|vendorID|End
NCO|distributorproduct|value|MXD1062|WB-CHO-30|Apillo Block Wafer Cho 30|3 x 10 x 90|krt|bag|pcs|PCS|30|10|1|A|51717.27|58636.36|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1062P|MXD1062P|Apillo Block Wafer Cho 30|3 x 10 x 90|krt|bag|pcs|PCS|30|10|1|A|0.0|0.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1067|WB-CHO-60|Apillo Block Wafer Cho 60|6 x 10 x 60|krt|bag|pcs|PCS|60|10|1|A|67352.73|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1075|WB-CHO-120|Apillo Block Wafer Choco|2 x 6 x 250|krt|bag|pcs|PCS|12|6|1|A|53882.18|61090.91|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1070P|MXD1070P|Apillo Block Wafer Pdn 30|3 x 10 x 90|krt|bag|pcs|PCS|30|10|1|A|0.0|0.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1070|WB-PDN-30|Apillo Block Wafer Pnd 30|3 x 10 x 90|krt|BAG|pcs|PCS|30|10|1|A|51717.27|58636.36|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1063|WB-STW-30|Apillo Block Wafer Str 30|3 X 10 X 90|krt|bag|pcs|PCS|30|10|1|A|51717.27|58636.36|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1063P|MXD1063P|Apillo Block Wafer Str 30|3 x 10 x 90|krt|bag|pcs|PCS|30|10|1|A|0.0|0.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1069|WB-STW-60|Apillo Block Wafer Str 60|6 x 10 x 60|krt|BAG|pcs|PCS|60|10|1|A|67352.73|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1076|WB-STW-120|Apillo Block Wafer Strow|2 x 6 x 250|krt|bag|pcs|PCS|12|6|1|A|53882.18|61090.91|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1068|WB-VNL-30|Apillo Block Wafer Val 30|3 x 10 x 90|krt|bag|pcs|PCS|30|10|1|A|51717.27|58636.36|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1068P|MXD1068P|Apillo Block Wafer Val 30|3 x 10 x 90|krt|bag|pcs|PCS|30|10|1|A|0.0|0.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1064|MXD1064|Apillo Block Wf Choco 120|6 x 20 x 20|krt|BAG|pcs|PCS|120|20|1|A|37525.1|42545.45|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1065|MXD1065|Apillo Block Wf Strow 120|6 x 20 x 20|krt|BAG|pcs|PCS|120|20|1|A|37525.1|42545.45|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1074|WB-WCOF-30|Apillo Block White Coff30|3 x 10 x 90|krt|bag|pcs|PCS|30|10|1|A|51717.27|58636.36|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1074P|MXD1074P|Apillo Block White Coff30|3 x 10 x 90|krt|bag|pcs|PCS|30|10|1|A|0.0|0.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD100|MXD100|Apillo Chese|6 x 64 x 8|krt|jar|pcs|PCS|384|64|1|A|84191.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10177|MXD10177|Apillo Cho Orange|6 x 64 x 8|krt|jar|pcs|PCS|384|64|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD125|MXD125|apillo cho strawbery|6x56x12gr|krt|Tps|pcs|PCS|360|60|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10166|MXD10166|Apillo Cho Strawbery|6 x 64 x 8|krt|jar|pcs|PCS|384|64|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1017|MXD1017|Apillo cho-orange|6 x 56 x 12|krt|jar|pcs|PCS|336|56|1|A|94294.0|106909.09|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1016|MXD1016|Apillo Cho-Strawbery|6 x 56 x 12|krt|jar|pcs|PCS|336|56|1|A|94294.0|106909.09|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1141|MXD1141|Apillo Choco Cream Wafer|24 x 150|krt|pcs|pcs|PCS|24|1|1|A|51958.0|58909.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD101|WF-CHO-6T|Apillo Chocolate|6 x 56 x 12Gr|krt|jar|pcs|PCS|360|60|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1011|MXD1011|Apillo Chocolate|6 x 56 x 12|krt|jar|pcs|PCS|336|56|1|A|94294.0|106909.09|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1024|WF-CHO-8P|Apillo Chocolate|8 x 20 x 10|krt|BAG|pcs|PCS|160|20|1|A|53561.45|60727.27|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10111|MXD10111|Apillo Chocolate|6 x 64 x 8|krt|jar|pcs|PCS|384|64|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD101PR|MXD101PR|Apillo Chocolate|6x60x12Gr|krt|jar|pcs|PCS|360|60|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD104|MXD104|Apillo Chocolate Mini|6 x 30 x 12|krt|jar|pcs|PCS|180|30|1|A|48911.0|55455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1077P|MXD1077P|Apillo Doubel Wafer Choco|6 x 20 x 15|krt|bag|pcs|PCS|120|20|1|A|0.0|0.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1077|WF-DCO-6|Apillo Double Wafer Choco|6 x 20 x 15|krt|bag|pcs|PCS|120|20|1|A|66391.0|75273.0|1.0|1522217674091|001|End
